timestamp	phase	repo	system	query_id	control_json	metric	value
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "waterfill", "beam_width": 5, "max_depth": 3}	ndcg@10	0.0
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "waterfill", "beam_width": 5, "max_depth": 3}	latency_s	0.010297875000000012
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "uniform", "beam_width": 5, "max_depth": 5}	ndcg@10	0.6824849757840203
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "uniform", "beam_width": 5, "max_depth": 5}	latency_s	0.011720125000000081
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "waterfill", "beam_width": 5, "max_depth": 5}	ndcg@10	0.6824849757840203
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "waterfill", "beam_width": 5, "max_depth": 5}	latency_s	0.007973333999999888
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "uniform", "beam_width": 5, "max_depth": 7}	ndcg@10	0.6824849757840203
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "uniform", "beam_width": 5, "max_depth": 7}	latency_s	0.010338292000000138
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "waterfill", "beam_width": 5, "max_depth": 7}	ndcg@10	0.6824849757840203
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "waterfill", "beam_width": 5, "max_depth": 7}	latency_s	0.008440333000000244
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "uniform", "beam_width": 5, "max_depth": 10}	ndcg@10	0.6824849757840203
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "uniform", "beam_width": 5, "max_depth": 10}	latency_s	0.010530375000000092
2026-03-29T20:23:44+00:00	routing	turborepo	srt-warm	q01	{"beam_policy": "waterfill", "beam_width": 5, "max_depth": 10}	ndcg@10	0.6824849757840203
